App_Name, Date, Time, Rating, Comment_Upvotes, Review, Response_Date, Response_Time, Response,Priority
EatSure QuickiES Food Delivery,2025-02-27,02:14:38,5,0,I am 1st Time User  and Trust me best food delivery Application  Telling you with my experience.,2025-02-27,02:16:15,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-27,01:01:45,1,0,Worst service by eatsure.....they only fool you by saying to deliver on time. I placed my order at 11:48 pm  the rider was assigned who later told that he was not aware of such order as he didn't get notified on his phone  another rider assigned  who told me that he is having 7 other orders to deliver nearby and he will take another 30-40 min to deliver my order.....it's been 1 am in the morning and I am still waiting for my order. They are not even cancelling so that I can go to sleep,2025-02-27,01:16:45,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-27,00:40:39,1,0,Everything Is Good until Something Wrong Happens. Support System is Totally Worst.,2025-02-27,00:47:54,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-27,00:39:58,5,0,Good works with good taste,2025-02-27,00:49:24,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),feature required
EatSure QuickiES Food Delivery,2025-02-27,00:32:33,5,0,good,2025-02-27,00:50:33,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Medium Priority
EatSure QuickiES Food Delivery,2025-02-26,23:37:02,1,0,Worstt,2025-02-26,23:57:44,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,23:35:17,5,0,"""Had an amazing experience ordering Paneer Zaikedar Biryani from Behrouz via EatSure! The delivery was super fast  the food was absolutely delicious  and the packaging was perfect. Loved the flavors and the overall quality. Looking forward to ordering again! A small loyalty coupon would be a great bonus to continue enjoying EatSure. Highly recommend!""",2025-02-26,23:59:11,Hey Shirshak! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,23:32:11,1,0,Very bad quantity first order images is high quality chicken pizza but order pizza is like roadside pizza,2025-02-27,00:00:27,Hi Pankaj! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (NM),Least Priority
EatSure QuickiES Food Delivery,2025-02-26,23:31:13,5,0,One of the best website for food ....so far,2025-02-27,00:02:17,Hey There! Thanks for leaving us such a wonderful review. We are thrilled that you loved the experience. For any additional feedback  feel free to drop an email to goodness@eatsure.com. (NM),Top Priority
EatSure QuickiES Food Delivery,2025-02-26,23:04:48,3,0,It's little bit expensive...,2025-02-26,23:13:26,Hi There! That is certainly not the experience we intend for our customers and we do apologize for any inconvenience. Kindly share your contact number at goodness@eatsure.com so that we can fix this for you. (NM),feature required
